date,actiontime,temperature
1/4,15:30,17.75
2/4,15:30,14.65
3/4,15:30,17.35
4/4,15:30,24.35
5/4,15:30,21.95
6/4,15:30,12.45
7/4,15:30,16.05
8/4,15:30,11.4
9/4,15:30,7.6
10/4,15:30,10.55
11/4,15:30,10.65
12/4,15:30,7.15
13/4,15:30,9.2
14/4,15:30,7.55
15/4,15:30,8.0
16/4,15:30,7.65
17/4,15:30,11.85
18/4,15:30,13.9
19/4,15:30,16.65
20/4,15:30,21.0
21/4,15:30,21.8
22/4,15:30,18.65
23/4,15:30,13.0
24/4,15:30,6.95
25/4,15:30,13.25
26/4,15:30,6.7
27/4,15:30,9.55
28/4,15:30,5.75
29/4,15:30,5.6
30/4,15:30,7.45
