date,actiontime,temperature
1/1,14:30,-3.1
2/1,14:30,6.95
3/1,14:30,8.35
4/1,14:30,-0.2
5/1,14:30,1.8
6/1,14:30,2.35
7/1,14:30,-0.1
8/1,14:30,-0.6
9/1,14:30,-1.15
10/1,14:30,-0.15
11/1,14:30,4.6
12/1,14:30,2.95
13/1,14:30,3.6
14/1,14:30,7.7
15/1,14:30,4.15
16/1,14:30,1.7
17/1,14:30,0.0
18/1,14:30,2.0
19/1,14:30,9.65
20/1,14:30,5.9
21/1,14:30,5.2
22/1,14:30,5.55
23/1,14:30,7.4
24/1,14:30,1.8
25/1,14:30,-0.6
26/1,14:30,-1.5
27/1,14:30,-3.5
28/1,14:30,2.6
29/1,14:30,-0.1
30/1,14:30,3.35
31/1,14:30,5.05
