,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,14:15,4.85,20.212015,3:45
1,2/2,14:15,5.7,20.380884,3:45
2,3/2,14:15,6.48,20.491888,3:45
3,4/2,14:15,5.98,20.436552,3:45
4,5/2,14:15,9.38,20.923756,3:45
5,6/2,14:15,3.08,19.924177,3:45
6,7/2,14:15,1.98,19.747515,3:45
7,8/2,14:15,3.35,19.982405,3:45
8,9/2,14:15,1.88,19.687967,3:45
9,10/2,14:15,0.95,19.507286,3:45
10,11/2,14:15,2.78,19.86561,3:45
11,12/2,14:15,-1.3,19.136583,3:45
12,13/2,14:15,-1.1,19.136583,3:45
13,14/2,14:15,-0.55,19.261541,3:45
14,15/2,14:15,-1.08,19.136583,3:45
15,16/2,14:15,-1.65,19.073545,3:45
16,17/2,14:15,-2.6,18.946424,3:45
17,18/2,14:15,-1.33,19.136583,3:45
18,19/2,14:15,-4.32,18.752998,3:45
19,20/2,14:15,3.6,20.040297,3:45
20,21/2,14:15,6.6,20.491888,3:45
21,22/2,14:15,5.62,20.380884,3:45
22,23/2,14:15,6.35,20.491888,3:45
23,24/2,14:15,0.02,19.385126,3:45
24,25/2,14:15,-0.88,19.199236,3:45
25,26/2,14:15,0.85,19.507286,3:45
26,27/2,14:15,0.0,19.323511,3:45
27,28/2,14:15,2.9,19.924177,3:45
