,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,14:30,-3.1,18.288593,3:30
1,2/1,14:30,6.95,20.040297,3:30
2,3/1,14:30,8.35,20.268614,3:30
3,4/1,14:30,-0.2,18.752998,3:30
4,5/1,14:30,1.8,19.136583,3:30
5,6/1,14:30,2.35,19.261541,3:30
6,7/1,14:30,-0.1,18.752998,3:30
7,8/1,14:30,-0.6,18.687778,3:30
8,9/1,14:30,-1.15,18.556223,3:30
9,10/1,14:30,-0.15,18.752998,3:30
10,11/1,14:30,4.6,19.687967,3:30
11,12/1,14:30,2.95,19.385126,3:30
12,13/1,14:30,3.6,19.507286,3:30
13,14/1,14:30,7.7,20.15509,3:30
14,15/1,14:30,4.15,19.567863,3:30
15,16/1,14:30,1.7,19.136583,3:30
16,17/1,14:30,0.0,18.752998,3:30
17,18/1,14:30,2.0,19.199236,3:30
18,19/1,14:30,9.65,20.491888,3:30
19,20/1,14:30,5.9,19.86561,3:30
20,21/1,14:30,5.2,19.747515,3:30
21,22/1,14:30,5.55,19.806738,3:30
22,23/1,14:30,7.4,20.15509,3:30
23,24/1,14:30,1.8,19.136583,3:30
24,25/1,14:30,-0.6,18.687778,3:30
25,26/1,14:30,-1.5,18.489882,3:30
26,27/1,14:30,-3.5,18.220728,3:30
27,28/1,14:30,2.6,19.323511,3:30
28,29/1,14:30,-0.1,18.752998,3:30
29,30/1,14:30,3.35,19.44638,3:30
30,31/1,14:30,5.05,19.747515,3:30
