,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,15:0,11.2,19.924177,3:0
1,2/3,15:0,5.3,18.687778,3:0
2,3/3,15:0,9.8,19.44638,3:0
3,4/3,15:0,7.2,19.010164,3:0
4,5/3,15:0,5.3,18.687778,3:0
5,6/3,15:0,4.1,18.423178,3:0
6,7/3,15:0,3.4,18.288593,3:0
7,8/3,15:0,7.4,19.073545,3:0
8,9/3,15:0,9.4,19.385126,3:0
9,10/3,15:0,10.3,19.567863,3:0
10,11/3,15:0,4.5,18.489882,3:0
11,12/3,15:0,5.7,18.752998,3:0
12,13/3,15:0,5.1,18.622192,3:0
13,14/3,15:0,6.5,18.88231,3:0
14,15/3,15:0,11.4,20.040297,3:0
15,16/3,15:0,7.1,19.010164,3:0
16,17/3,15:0,5.7,18.752998,3:0
17,18/3,15:0,2.4,18.083818,3:0
18,19/3,15:0,4.5,18.489882,3:0
19,20/3,15:0,5.1,18.622192,3:0
20,21/3,15:0,6.5,18.88231,3:0
21,22/3,15:0,6.5,18.88231,3:0
22,23/3,15:0,6.0,18.817842,3:0
23,24/3,15:0,10.9,19.747515,3:0
24,25/3,15:0,13.4,21.132597,3:0
25,26/3,15:0,15.7,22.383974,3:0
26,27/3,15:0,16.1,22.605139,3:0
27,28/3,15:0,14.6,21.780418,3:0
28,29/3,15:0,11.6,20.097853,3:0
29,30/3,15:0,9.1,19.323511,3:0
30,31/3,15:0,8.4,19.199236,3:0
