,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,15:30,17.75,24.021608,2:30
1,2/4,15:30,14.65,22.27561,2:30
2,3/4,15:30,17.35,23.816513,2:30
3,4/4,15:30,24.35,None,None
4,5/4,15:30,21.95,None,None
5,6/4,15:30,12.45,21.357409,2:30
6,7/4,15:30,16.05,23.110067,2:30
7,8/4,15:30,11.4,21.149054,2:30
8,9/4,15:30,7.6,20.348063,2:30
9,10/4,15:30,10.55,21.007814,2:30
10,11/4,15:30,10.65,21.007814,2:30
11,12/4,15:30,7.15,20.272285,2:30
12,13/4,15:30,9.2,20.719494,2:30
13,14/4,15:30,7.55,20.348063,2:30
14,15/4,15:30,8.0,20.423353,2:30
15,16/4,15:30,7.65,20.348063,2:30
16,17/4,15:30,11.85,21.218975,2:30
17,18/4,15:30,13.9,21.892775,2:30
18,19/4,15:30,16.65,23.443964,2:30
19,20/4,15:30,21.0,None,None
20,21/4,15:30,21.8,None,None
21,22/4,15:30,18.65,24.557539,2:30
22,23/4,15:30,13.0,21.42592,2:30
23,24/4,15:30,6.95,20.19601,2:30
24,25/4,15:30,13.25,21.493973,2:30
25,26/4,15:30,6.7,20.19601,2:30
26,27/4,15:30,9.55,20.792303,2:30
27,28/4,15:30,5.75,19.964071,2:30
28,29/4,15:30,5.6,19.885733,2:30
29,30/4,15:30,7.45,20.348063,2:30
