,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,14:15,4.85,22.821142,3:45
1,2/2,14:15,5.7,22.995699,3:45
2,3/2,14:15,6.48,23.110067,3:45
3,4/2,14:15,5.98,22.995699,3:45
4,5/2,14:15,9.38,23.552233,3:45
5,6/2,14:15,3.08,22.46118,3:45
6,7/2,14:15,1.98,22.27561,3:45
7,8/2,14:15,3.35,22.522232,3:45
8,9/2,14:15,1.88,22.21289,3:45
9,10/2,14:15,0.95,22.022087,3:45
10,11/2,14:15,2.78,22.39974,3:45
11,12/2,14:15,-1.3,21.561563,3:45
12,13/2,14:15,-1.1,21.561563,3:45
13,14/2,14:15,-0.55,21.695436,3:45
14,15/2,14:15,-1.08,21.561563,3:45
15,16/2,14:15,-1.65,21.493973,3:45
16,17/2,14:15,-2.6,21.357409,3:45
17,18/2,14:15,-1.33,21.561563,3:45
18,19/2,14:15,-4.32,21.288435,3:45
19,20/2,14:15,3.6,22.582857,3:45
20,21/2,14:15,6.6,23.110067,3:45
21,22/2,14:15,5.62,22.937904,3:45
22,23/2,14:15,6.35,23.110067,3:45
23,24/2,14:15,0.02,21.827454,3:45
24,25/2,14:15,-0.88,21.628725,3:45
25,26/2,14:15,0.85,22.022087,3:45
26,27/2,14:15,0.0,21.827454,3:45
27,28/2,14:15,2.9,22.46118,3:45
