,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,14:30,-3.1,20.719494,3:30
1,2/1,14:30,6.95,22.643059,3:30
2,3/1,14:30,8.35,22.879705,3:30
3,4/1,14:30,-0.2,21.149054,3:30
4,5/1,14:30,1.8,21.628725,3:30
5,6/1,14:30,2.35,21.761679,3:30
6,7/1,14:30,-0.1,21.149054,3:30
7,8/1,14:30,-0.6,21.078676,3:30
8,9/1,14:30,-1.15,20.936472,3:30
9,10/1,14:30,-0.15,21.149054,3:30
10,11/1,14:30,4.6,22.21289,3:30
11,12/1,14:30,2.95,21.892775,3:30
12,13/1,14:30,3.6,22.022087,3:30
13,14/1,14:30,7.7,22.821142,3:30
14,15/1,14:30,4.15,22.149734,3:30
15,16/1,14:30,1.7,21.628725,3:30
16,17/1,14:30,0.0,21.218975,3:30
17,18/1,14:30,2.0,21.695436,3:30
18,19/1,14:30,9.65,23.110067,3:30
19,20/1,14:30,5.9,22.46118,3:30
20,21/1,14:30,5.2,22.337875,3:30
21,22/1,14:30,5.55,22.39974,3:30
22,23/1,14:30,7.4,22.762184,3:30
23,24/1,14:30,1.8,21.628725,3:30
24,25/1,14:30,-0.6,21.078676,3:30
25,26/1,14:30,-1.5,20.86463,3:30
26,27/1,14:30,-3.5,20.646208,3:30
27,28/1,14:30,2.6,21.827454,3:30
28,29/1,14:30,-0.1,21.149054,3:30
29,30/1,14:30,3.35,21.957644,3:30
30,31/1,14:30,5.05,22.337875,3:30
