,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,15:0,11.2,22.337875,3:0
1,2/3,15:0,5.3,21.149054,3:0
2,3/3,15:0,9.8,22.086134,3:0
3,4/3,15:0,7.2,21.561563,3:0
4,5/3,15:0,5.3,21.149054,3:0
5,6/3,15:0,4.1,20.936472,3:0
6,7/3,15:0,3.4,20.719494,3:0
7,8/3,15:0,7.4,21.628725,3:0
8,9/3,15:0,9.4,21.957644,3:0
9,10/3,15:0,10.3,22.149734,3:0
10,11/3,15:0,4.5,21.007814,3:0
11,12/3,15:0,5.7,21.288435,3:0
12,13/3,15:0,5.1,21.149054,3:0
13,14/3,15:0,6.5,21.42592,3:0
14,15/3,15:0,11.4,22.337875,3:0
15,16/3,15:0,7.1,21.561563,3:0
16,17/3,15:0,5.7,21.288435,3:0
17,18/3,15:0,2.4,20.498161,3:0
18,19/3,15:0,4.5,21.007814,3:0
19,20/3,15:0,5.1,21.149054,3:0
20,21/3,15:0,6.5,21.42592,3:0
21,22/3,15:0,6.5,21.42592,3:0
22,23/3,15:0,6.0,21.288435,3:0
23,24/3,15:0,10.9,22.27561,3:0
24,25/3,15:0,13.4,22.702835,3:0
25,26/3,15:0,15.7,23.868341,3:0
26,27/3,15:0,16.1,24.071997,3:0
27,28/3,15:0,14.6,23.334139,3:0
28,29/3,15:0,11.6,22.39974,3:0
29,30/3,15:0,9.1,21.957644,3:0
30,31/3,15:0,8.4,21.827454,3:0
