,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,15:30,17.75,21.9859,2:30
1,2/4,15:30,14.65,20.30197,2:30
2,3/4,15:30,17.35,21.744682,2:30
3,4/4,15:30,24.35,None,None
4,5/4,15:30,21.95,None,None
5,6/4,15:30,12.45,19.069517,2:30
6,7/4,15:30,16.05,21.067919,2:30
7,8/4,15:30,11.4,18.45765,2:30
8,9/4,15:30,7.6,17.48314,2:30
9,10/4,15:30,10.55,18.223701,2:30
10,11/4,15:30,10.65,18.223701,2:30
11,12/4,15:30,7.15,17.353868,2:30
12,13/4,15:30,9.2,17.922302,2:30
13,14/4,15:30,7.55,17.48314,2:30
14,15/4,15:30,8.0,17.610708,2:30
15,16/4,15:30,7.65,17.48314,2:30
16,17/4,15:30,11.85,18.685408,2:30
17,18/4,15:30,13.9,19.882204,2:30
18,19/4,15:30,16.65,21.379074,2:30
19,20/4,15:30,21.0,None,None
20,21/4,15:30,21.8,None,None
21,22/4,15:30,18.65,22.464645,2:30
22,23/4,15:30,13.0,19.384623,2:30
23,24/4,15:30,6.95,17.28859,2:30
24,25/4,15:30,13.25,19.486856,2:30
25,26/4,15:30,6.7,17.222878,2:30
26,27/4,15:30,9.55,17.983395,2:30
27,28/4,15:30,5.75,16.95566,2:30
28,29/4,15:30,5.6,16.95566,2:30
29,30/4,15:30,7.45,17.418718,2:30
