,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,14:15,4.85,19.384623,3:45
1,2/2,14:15,5.7,19.587679,3:45
2,3/2,14:15,6.48,19.736422,3:45
3,4/2,14:15,5.98,19.637608,3:45
4,5/2,14:15,9.38,20.30197,3:45
5,6/2,14:15,3.08,18.961605,3:45
6,7/2,14:15,1.98,18.629034,3:45
7,8/2,14:15,3.35,19.015736,3:45
8,9/2,14:15,1.88,18.629034,3:45
9,10/2,14:15,0.95,18.341452,3:45
10,11/2,14:15,2.78,18.852243,3:45
11,12/2,14:15,-1.3,17.673853,3:45
12,13/2,14:15,-1.1,17.673853,3:45
13,14/2,14:15,-0.55,17.860819,3:45
14,15/2,14:15,-1.08,17.73659,3:45
15,16/2,14:15,-1.65,17.610708,3:45
16,17/2,14:15,-2.6,17.48314,3:45
17,18/2,14:15,-1.33,17.673853,3:45
18,19/2,14:15,-4.32,17.418718,3:45
19,20/2,14:15,3.6,19.069517,3:45
20,21/2,14:15,6.6,19.785334,3:45
21,22/2,14:15,5.62,19.587679,3:45
22,23/2,14:15,6.35,19.736422,3:45
23,24/2,14:15,0.02,18.044086,3:45
24,25/2,14:15,-0.88,17.73659,3:45
25,26/2,14:15,0.85,18.28278,3:45
26,27/2,14:15,0.0,18.044086,3:45
27,28/2,14:15,2.9,18.90711,3:45
