,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,14:30,-3.1,16.887758,3:30
1,2/1,14:30,6.95,19.384623,3:30
2,3/1,14:30,8.35,19.68719,3:30
3,4/1,14:30,-0.2,17.418718,3:30
4,5/1,14:30,1.8,18.044086,3:30
5,6/1,14:30,2.35,18.223701,3:30
6,7/1,14:30,-0.1,17.418718,3:30
7,8/1,14:30,-0.6,17.28859,3:30
8,9/1,14:30,-1.15,17.090155,3:30
9,10/1,14:30,-0.15,17.418718,3:30
10,11/1,14:30,4.6,18.852243,3:30
11,12/1,14:30,2.95,18.39974,3:30
12,13/1,14:30,3.6,18.57229,3:30
13,14/1,14:30,7.7,19.537434,3:30
14,15/1,14:30,4.15,18.741392,3:30
15,16/1,14:30,1.7,18.044086,3:30
16,17/1,14:30,0.0,17.48314,3:30
17,18/1,14:30,2.0,18.104353,3:30
18,19/1,14:30,9.65,19.930124,3:30
19,20/1,14:30,5.9,19.175991,3:30
20,21/1,14:30,5.2,19.015736,3:30
21,22/1,14:30,5.55,19.069517,3:30
22,23/1,14:30,7.4,19.486856,3:30
23,24/1,14:30,1.8,18.044086,3:30
24,25/1,14:30,-0.6,17.28859,3:30
25,26/1,14:30,-1.5,17.023138,3:30
26,27/1,14:30,-3.5,16.819414,3:30
27,28/1,14:30,2.6,18.28278,3:30
28,29/1,14:30,-0.1,17.418718,3:30
29,30/1,14:30,3.35,18.515165,3:30
30,31/1,14:30,5.05,18.961605,3:30
