,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,15:0,11.2,19.384623,3:0
1,2/3,15:0,5.3,17.983395,3:0
2,3/3,15:0,9.8,19.069517,3:0
3,4/3,15:0,7.2,18.45765,3:0
4,5/3,15:0,5.3,17.983395,3:0
5,6/3,15:0,4.1,17.673853,3:0
6,7/3,15:0,3.4,17.418718,3:0
7,8/3,15:0,7.4,18.515165,3:0
8,9/3,15:0,9.4,18.961605,3:0
9,10/3,15:0,10.3,19.175991,3:0
10,11/3,15:0,4.5,17.798918,3:0
11,12/3,15:0,5.7,18.104353,3:0
12,13/3,15:0,5.1,17.922302,3:0
13,14/3,15:0,6.5,18.28278,3:0
14,15/3,15:0,11.4,19.435919,3:0
15,16/3,15:0,7.1,18.45765,3:0
16,17/3,15:0,5.7,18.104353,3:0
17,18/3,15:0,2.4,17.090155,3:0
18,19/3,15:0,4.5,17.798918,3:0
19,20/3,15:0,5.1,17.922302,3:0
20,21/3,15:0,6.5,18.28278,3:0
21,22/3,15:0,6.5,18.28278,3:0
22,23/3,15:0,6.0,18.164215,3:0
23,24/3,15:0,10.9,19.280996,3:0
24,25/3,15:0,13.4,20.436264,3:0
25,26/3,15:0,15.7,21.5651,3:0
26,27/3,15:0,16.1,21.744682,3:0
27,28/3,15:0,14.6,21.027784,3:0
28,29/3,15:0,11.6,19.537434,3:0
29,30/3,15:0,9.1,18.90711,3:0
30,31/3,15:0,8.4,18.741392,3:0
