,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,17:15,17.73,19.507286,0:45
1,2/4,16:0,14.7,19.924177,2:0
2,3/4,17:15,17.75,19.567863,0:45
3,4/4,None,21.5,None,None
4,5/4,None,21.4,None,None
5,6/4,15:15,12.32,20.040297,2:45
6,7/4,17:0,17.4,19.806738,1:0
7,8/4,15:0,10.5,19.628088,3:0
8,9/4,14:45,7.65,19.628088,3:15
9,10/4,15:15,11.18,19.385126,2:45
10,11/4,15:0,10.6,19.628088,3:0
11,12/4,14:45,9.27,19.924177,3:15
12,13/4,14:45,9.15,19.86561,3:15
13,14/4,14:45,7.88,19.687967,3:15
14,15/4,14:45,9.88,19.982405,3:15
15,16/4,14:45,8.0,19.687967,3:15
16,17/4,15:15,11.82,19.747515,2:45
17,18/4,15:45,14.05,20.040297,2:15
18,19/4,16:45,16.83,19.86561,1:15
19,20/4,None,20.27,None,None
20,21/4,None,21.3,None,None
21,22/4,17:30,18.25,19.44638,0:30
22,23/4,15:30,13.0,19.924177,2:30
23,24/4,14:30,6.15,19.924177,3:30
24,25/4,15:30,13.25,20.040297,2:30
25,26/4,14:30,6.3,19.982405,3:30
26,27/4,14:45,9.65,19.982405,3:15
27,28/4,14:30,4.6,19.687967,3:30
28,29/4,14:30,5.15,19.747515,3:30
29,30/4,14:45,7.38,19.628088,3:15
