,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,14:30,4.9,19.747515,3:30
1,2/2,14:30,5.7,19.86561,3:30
2,3/2,14:30,6.45,19.982405,3:30
3,4/2,14:30,5.95,19.924177,3:30
4,5/2,14:45,8.93,19.86561,3:15
5,6/2,14:15,3.08,19.924177,3:45
6,7/2,14:15,1.98,19.747515,3:45
7,8/2,14:15,3.35,19.982405,3:45
8,9/2,14:15,1.88,19.687967,3:45
9,10/2,14:15,0.95,19.507286,3:45
10,11/2,14:15,2.78,19.86561,3:45
11,12/2,14:0,-1.4,19.628088,4:0
12,13/2,14:0,-1.2,19.687967,4:0
13,14/2,14:0,-0.7,19.747515,4:0
14,15/2,14:0,-1.1,19.687967,4:0
15,16/2,14:0,-1.8,19.567863,4:0
16,17/2,13:45,-3.12,19.982405,4:15
17,18/2,14:0,-1.6,19.628088,4:0
18,19/2,13:45,-4.73,19.86561,4:15
19,20/2,14:15,3.6,20.040297,3:45
20,21/2,14:30,6.7,20.040297,3:30
21,22/2,14:30,5.85,19.86561,3:30
22,23/2,14:30,6.4,19.982405,3:30
23,24/2,14:0,0.0,19.86561,4:0
24,25/2,14:0,-0.9,19.747515,4:0
25,26/2,14:0,0.9,20.040297,4:0
26,27/2,14:0,0.0,19.86561,4:0
27,28/2,14:15,2.9,19.924177,3:45
