,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,13:45,-3.6,19.924177,4:15
1,2/1,14:30,6.95,20.040297,3:30
2,3/1,14:45,8.17,19.747515,3:15
3,4/1,14:0,-0.2,19.86561,4:0
4,5/1,14:15,1.7,19.687967,3:45
5,6/1,14:15,2.38,19.806738,3:45
6,7/1,14:0,-0.2,19.86561,4:0
7,8/1,14:0,-0.5,19.806738,4:0
8,9/1,14:0,-1.3,19.687967,4:0
9,10/1,14:0,-0.4,19.806738,4:0
10,11/1,14:30,4.6,19.687967,3:30
11,12/1,14:15,3.22,19.982405,3:45
12,13/1,14:15,3.6,20.040297,3:45
13,14/1,14:45,7.65,19.628088,3:15
14,15/1,14:30,4.15,19.567863,3:30
15,16/1,14:15,1.8,19.687967,3:45
16,17/1,14:0,0.2,19.924177,4:0
17,18/1,14:15,1.75,19.687967,3:45
18,19/1,14:45,9.78,19.982405,3:15
19,20/1,14:30,5.9,19.86561,3:30
20,21/1,14:30,5.2,19.747515,3:30
21,22/1,14:30,5.55,19.806738,3:30
22,23/1,14:45,7.35,19.628088,3:15
23,24/1,14:15,1.8,19.687967,3:45
24,25/1,14:0,-0.8,19.747515,4:0
25,26/1,14:0,-1.8,19.567863,4:0
26,27/1,13:45,-4.2,19.86561,4:15
27,28/1,14:15,2.5,19.806738,3:45
28,29/1,14:0,-0.3,19.86561,4:0
29,30/1,14:15,3.28,19.982405,3:45
30,31/1,14:30,5.05,19.747515,3:30
