,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,15:0,11.2,19.924177,3:0
1,2/3,14:30,5.4,19.806738,3:30
2,3/3,14:45,9.7,19.982405,3:15
3,4/3,14:45,7.1,19.567863,3:15
4,5/3,14:30,5.75,19.86561,3:30
5,6/3,14:30,4.25,19.628088,3:30
6,7/3,14:15,2.8,19.86561,3:45
7,8/3,14:45,7.22,19.567863,3:15
8,9/3,14:45,9.4,19.924177,3:15
9,10/3,14:45,10.1,20.040297,3:15
10,11/3,14:30,4.7,19.687967,3:30
11,12/3,14:30,5.5,19.806738,3:30
12,13/3,14:15,2.32,19.806738,3:45
13,14/3,14:30,6.25,19.924177,3:30
14,15/3,15:0,11.4,20.040297,3:0
15,16/3,14:45,7.33,19.567863,3:15
16,17/3,14:30,5.8,19.86561,3:30
17,18/3,14:15,2.85,19.86561,3:45
18,19/3,14:30,5.0,19.747515,3:30
19,20/3,14:30,5.5,19.806738,3:30
20,21/3,14:30,6.55,19.982405,3:30
21,22/3,14:45,6.75,19.507286,3:15
22,23/3,14:30,6.0,19.924177,3:30
23,24/3,15:0,10.9,19.747515,3:0
24,25/3,15:45,13.48,19.687967,2:15
25,26/3,16:15,15.65,20.040297,1:45
26,27/3,16:45,16.4,19.567863,1:15
27,28/3,16:15,14.92,19.567863,1:45
28,29/3,15:15,11.5,19.567863,2:45
29,30/3,14:45,9.0,19.86561,3:15
30,31/3,14:45,8.28,19.747515,3:15
