,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,17:15,17.73,20.041912,0:45
1,2/4,16:30,14.35,19.567171,1:30
2,3/4,17:15,17.75,20.041912,0:45
3,4/4,None,21.5,None,None
4,5/4,None,21.4,None,None
5,6/4,16:15,11.58,19.157038,1:45
6,7/4,17:15,17.17,19.567171,0:45
7,8/4,16:0,12.3,19.964071,2:0
8,9/4,15:45,7.6,19.64761,2:15
9,10/4,16:0,9.3,19.322693,2:0
10,11/4,16:0,10.7,19.64761,2:0
11,12/4,15:45,5.98,19.240133,2:15
12,13/4,16:0,9.7,19.404728,2:0
13,14/4,15:45,7.42,19.64761,2:15
14,15/4,15:45,7.0,19.567171,2:15
15,16/4,15:45,7.48,19.64761,2:15
16,17/4,16:0,11.9,19.885733,2:0
17,18/4,16:30,14.15,19.404728,1:30
18,19/4,17:0,16.8,19.964071,1:0
19,20/4,None,20.27,None,None
20,21/4,None,21.3,None,None
21,22/4,17:30,18.25,19.806892,0:30
22,23/4,16:0,12.6,20.041912,2:0
23,24/4,15:45,7.12,19.567171,2:15
24,25/4,16:15,13.23,19.486216,1:45
25,26/4,15:45,6.75,19.486216,2:15
26,27/4,16:0,9.5,19.404728,2:0
27,28/4,15:30,5.75,19.964071,2:30
28,29/4,15:30,5.6,19.885733,2:30
29,30/4,15:45,7.48,19.64761,2:15
