,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,15:30,4.8,19.727518,2:30
1,2/2,15:30,5.6,19.885733,2:30
2,3/2,15:45,6.4,19.404728,2:15
3,4/2,15:30,5.95,19.964071,2:30
4,5/2,15:45,8.7,19.885733,2:15
5,6/2,15:30,4.2,19.567171,2:30
6,7/2,15:30,4.15,19.567171,2:30
7,8/2,15:30,3.7,19.404728,2:30
8,9/2,15:15,1.68,19.567171,2:45
9,10/2,15:0,0.8,20.041912,3:0
10,11/2,15:15,2.62,19.885733,2:45
11,12/2,15:0,-1.0,19.567171,3:0
12,13/2,15:0,-0.8,19.64761,3:0
13,14/2,15:0,-0.1,19.806892,3:0
14,15/2,15:0,-1.0,19.567171,3:0
15,16/2,15:0,-1.2,19.567171,3:0
16,17/2,15:0,-1.7,19.486216,3:0
17,18/2,15:0,-0.5,19.727518,3:0
18,19/2,14:45,-3.98,19.964071,3:15
19,20/2,15:30,4.0,19.486216,2:30
20,21/2,15:45,6.3,19.322693,2:15
21,22/2,15:30,5.95,19.964071,2:30
22,23/2,15:30,6.3,20.041912,2:30
23,24/2,15:0,0.1,19.885733,3:0
24,25/2,15:0,-0.8,19.64761,3:0
25,26/2,15:0,0.7,20.041912,3:0
26,27/2,15:0,0.0,19.885733,3:0
27,28/2,15:15,3.45,20.041912,2:45
