,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,14:45,-2.85,20.041912,3:15
1,2/1,15:45,6.22,19.322693,2:15
2,3/1,15:45,7.02,19.567171,2:15
3,4/1,15:0,-0.2,19.806892,3:0
4,5/1,15:15,1.85,19.64761,2:45
5,6/1,15:15,2.22,19.727518,2:45
6,7/1,15:0,0.0,19.885733,3:0
7,8/1,15:0,-0.7,19.64761,3:0
8,9/1,15:0,-1.0,19.567171,3:0
9,10/1,15:0,0.1,19.885733,3:0
10,11/1,15:30,4.3,19.567171,2:30
11,12/1,15:15,2.4,19.806892,2:45
12,13/1,15:30,3.6,19.404728,2:30
13,14/1,15:45,8.13,19.806892,2:15
14,15/1,15:30,3.9,19.486216,2:30
15,16/1,15:15,1.6,19.567171,2:45
16,17/1,15:0,-0.2,19.806892,3:0
17,18/1,15:15,2.78,19.885733,2:45
18,19/1,16:0,10.1,19.486216,2:0
19,20/1,15:30,5.35,19.806892,2:30
20,21/1,15:30,5.4,19.885733,2:30
21,22/1,15:30,5.75,19.964071,2:30
22,23/1,15:45,7.07,19.567171,2:15
23,24/1,15:15,2.02,19.727518,2:45
24,25/1,15:0,-0.4,19.727518,3:0
25,26/1,15:0,-1.2,19.567171,3:0
26,27/1,14:45,-3.25,20.041912,3:15
27,28/1,15:15,2.68,19.885733,2:45
28,29/1,15:0,0.1,19.885733,3:0
29,30/1,15:15,3.42,20.041912,2:45
30,31/1,15:30,4.85,19.727518,2:30
