,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,16:0,11.3,19.806892,2:0
1,2/3,15:30,5.35,19.806892,2:30
2,3/3,16:0,10.8,19.64761,2:0
3,4/3,15:45,7.28,19.567171,2:15
4,5/3,15:30,5.3,19.806892,2:30
5,6/3,15:30,4.2,19.567171,2:30
6,7/3,15:15,3.35,20.041912,2:45
7,8/3,15:45,7.78,19.727518,2:15
8,9/3,15:45,9.4,20.041912,2:15
9,10/3,16:0,10.3,19.567171,2:0
10,11/3,15:30,4.35,19.567171,2:30
11,12/3,15:30,6.0,19.964071,2:30
12,13/3,15:30,4.4,19.567171,2:30
13,14/3,15:45,6.28,19.322693,2:15
14,15/3,16:0,11.9,19.885733,2:0
15,16/3,15:45,7.1,19.567171,2:15
16,17/3,15:30,5.35,19.806892,2:30
17,18/3,15:15,2.75,19.885733,2:45
18,19/3,15:30,4.85,19.727518,2:30
19,20/3,15:30,5.4,19.885733,2:30
20,21/3,15:45,6.28,19.322693,2:15
21,22/3,15:45,6.88,19.486216,2:15
22,23/3,15:30,6.05,20.041912,2:30
23,24/3,16:0,10.7,19.64761,2:0
24,25/3,16:15,13.55,19.64761,1:45
25,26/3,16:45,15.35,19.567171,1:15
26,27/3,17:0,16.2,19.486216,1:0
27,28/3,16:30,14.85,19.885733,1:30
28,29/3,16:0,11.2,19.806892,2:0
29,30/3,16:0,9.7,19.404728,2:0
30,31/3,15:45,9.07,20.041912,2:15
