,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,17:0,17.8,19.833933,1:0
1,2/4,15:45,14.68,19.882204,2:15
2,3/4,17:0,17.8,19.833933,1:0
3,4/4,None,23.9,None,None
4,5/4,None,21.6,None,None
5,6/4,15:0,12.2,19.833933,3:0
6,7/4,16:30,16.85,19.977703,1:30
7,8/4,14:45,10.67,19.68719,3:15
8,9/4,14:15,7.75,20.024954,3:45
9,10/4,15:0,11.8,19.637608,3:0
10,11/4,14:45,10.6,19.68719,3:15
11,12/4,14:30,9.05,19.833933,3:30
12,13/4,14:30,9.6,19.930124,3:30
13,14/4,14:30,7.95,19.637608,3:30
14,15/4,14:30,9.75,19.977703,3:30
15,16/4,14:30,8.0,19.637608,3:30
16,17/4,14:45,11.52,19.930124,3:15
17,18/4,15:30,13.9,19.882204,2:30
18,19/4,16:30,16.85,19.977703,1:30
19,20/4,None,20.6,None,None
20,21/4,None,21.6,None,None
21,22/4,17:15,18.42,19.882204,0:45
22,23/4,15:15,13.2,19.930124,2:45
23,24/4,14:0,5.7,20.024954,4:0
24,25/4,15:15,13.22,19.930124,2:45
25,26/4,14:15,6.15,19.68719,3:45
26,27/4,14:30,9.7,19.977703,3:30
27,28/4,14:0,4.1,19.68719,4:0
28,29/4,14:0,5.2,19.930124,4:0
29,30/4,14:15,7.32,19.930124,3:45
