,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/2,14:0,4.8,19.833933,4:0
1,2/2,14:0,5.7,20.024954,4:0
2,3/2,14:15,6.48,19.736422,3:45
3,4/2,14:15,5.98,19.637608,3:45
4,5/2,14:30,9.15,19.833933,3:30
5,6/2,13:45,2.75,19.785334,4:15
6,7/2,13:45,1.87,19.587679,4:15
7,8/2,13:45,3.05,19.882204,4:15
8,9/2,13:30,1.5,19.930124,4:30
9,10/2,13:30,0.95,19.785334,4:30
10,11/2,13:45,2.68,19.785334,4:15
11,12/2,13:0,-2.2,20.024954,5:0
12,13/2,13:15,-1.58,19.637608,4:45
13,14/2,13:15,-1.38,19.68719,4:45
14,15/2,13:0,-2.0,20.024954,5:0
15,16/2,13:0,-3.3,19.930124,5:0
16,17/2,13:0,-3.8,19.930124,5:0
17,18/2,13:0,-2.7,19.977703,5:0
18,19/2,13:0,-5.4,19.882204,5:0
19,20/2,13:45,3.08,19.882204,4:15
20,21/2,14:15,6.6,19.785334,3:45
21,22/2,14:0,5.4,19.977703,4:0
22,23/2,14:15,6.35,19.736422,3:45
23,24/2,13:15,0.08,19.977703,4:45
24,25/2,13:15,-0.9,19.736422,4:45
25,26/2,13:30,0.9,19.785334,4:30
26,27/2,13:15,-0.22,19.930124,4:45
27,28/2,13:45,2.52,19.736422,4:15
