,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/1,13:0,-3.6,19.930124,5:0
1,2/1,14:15,6.82,19.833933,3:45
2,3/1,14:30,8.35,19.68719,3:30
3,4/1,13:15,-0.57,19.833933,4:45
4,5/1,13:30,1.8,19.977703,4:30
5,6/1,13:45,2.3,19.68719,4:15
6,7/1,13:15,-0.57,19.833933,4:45
7,8/1,13:15,-0.57,19.833933,4:45
8,9/1,13:15,-1.38,19.68719,4:45
9,10/1,13:15,-0.85,19.736422,4:45
10,11/1,14:0,4.8,19.833933,4:0
11,12/1,13:45,3.28,19.930124,4:15
12,13/1,13:45,3.5,19.977703,4:15
13,14/1,14:15,7.75,20.024954,3:45
14,15/1,14:0,4.3,19.736422,4:0
15,16/1,13:45,2.05,19.637608,4:15
16,17/1,13:15,0.28,20.024954,4:45
17,18/1,13:30,1.35,19.882204,4:30
18,19/1,14:30,9.65,19.930124,3:30
19,20/1,14:0,5.8,20.024954,4:0
20,21/1,14:0,5.0,19.882204,4:0
21,22/1,14:0,5.3,19.930124,4:0
22,23/1,14:15,7.45,19.930124,3:45
23,24/1,13:45,2.0,19.587679,4:15
24,25/1,13:15,-1.32,19.68719,4:45
25,26/1,13:15,-1.12,19.68719,4:45
26,27/1,13:0,-4.8,19.882204,5:0
27,28/1,13:45,2.43,19.736422,4:15
28,29/1,13:15,-0.82,19.785334,4:45
29,30/1,13:45,3.02,19.882204,4:15
30,31/1,14:0,5.2,19.930124,4:0
