,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/3,14:45,11.2,19.833933,3:15
1,2/3,14:0,5.5,19.977703,4:0
2,3/3,14:30,9.6,19.930124,3:30
3,4/3,14:15,6.9,19.833933,3:45
4,5/3,14:15,5.98,19.637608,3:45
5,6/3,14:0,4.4,19.736422,4:0
6,7/3,13:30,1.9,20.024954,4:30
7,8/3,14:15,6.88,19.833933,3:45
8,9/3,14:30,9.4,19.882204,3:30
9,10/3,14:30,9.9,19.977703,3:30
10,11/3,14:0,4.9,19.833933,4:0
11,12/3,14:0,5.3,19.930124,4:0
12,13/3,13:45,2.28,19.68719,4:15
13,14/3,14:15,6.12,19.68719,3:45
14,15/3,14:45,11.3,19.833933,3:15
15,16/3,14:15,7.78,20.024954,3:45
16,17/3,14:15,5.85,19.637608,3:45
17,18/3,13:45,3.52,19.977703,4:15
18,19/3,14:0,5.5,19.977703,4:0
19,20/3,14:15,5.7,19.587679,3:45
20,21/3,14:15,6.57,19.785334,3:45
21,22/3,14:15,7.25,19.930124,3:45
22,23/3,14:15,6.0,19.637608,3:45
23,24/3,14:45,10.75,19.736422,3:15
24,25/3,15:15,13.42,20.024954,2:45
25,26/3,16:15,15.65,19.587679,1:45
26,27/3,16:30,16.6,19.785334,1:30
27,28/3,15:45,14.9,20.024954,2:15
28,29/3,14:45,11.6,19.977703,3:15
29,30/3,14:30,8.9,19.785334,3:30
30,31/3,14:30,8.15,19.637608,3:30
