date,actiontime,temperature
1/3,15:0,11.2
2/3,14:30,5.4
3/3,14:45,9.7
4/3,14:45,7.1
5/3,14:30,5.75
6/3,14:30,4.25
7/3,14:15,2.8
8/3,14:45,7.22
9/3,14:45,9.4
10/3,14:45,10.1
11/3,14:30,4.7
12/3,14:30,5.5
13/3,14:15,2.32
14/3,14:30,6.25
15/3,15:0,11.4
16/3,14:45,7.33
17/3,14:30,5.8
18/3,14:15,2.85
19/3,14:30,5.0
20/3,14:30,5.5
21/3,14:30,6.55
22/3,14:45,6.75
23/3,14:30,6.0
24/3,15:0,10.9
25/3,15:45,13.48
26/3,16:15,15.65
27/3,16:45,16.4
28/3,16:15,14.92
29/3,15:15,11.5
30/3,14:45,9.0
31/3,14:45,8.28
