date,actiontime,temperature
1/1,13:0,-3.6
2/1,14:15,6.82
3/1,14:30,8.35
4/1,13:15,-0.57
5/1,13:30,1.8
6/1,13:30,2.2
7/1,13:15,-0.57
8/1,13:15,-0.57
9/1,13:0,-1.4
10/1,13:15,-0.85
11/1,14:0,4.8
12/1,13:45,3.28
13/1,13:45,3.5
14/1,14:15,7.75
15/1,14:0,4.3
16/1,13:30,2.2
17/1,13:15,0.28
18/1,13:30,1.35
19/1,14:30,9.65
20/1,14:0,5.8
21/1,14:0,5.0
22/1,14:0,5.3
23/1,14:15,7.45
24/1,13:30,2.2
25/1,13:0,-1.5
26/1,13:15,-1.12
27/1,13:0,-4.8
28/1,13:45,2.43
29/1,13:15,-0.82
30/1,13:45,3.02
31/1,14:0,5.2
