date,actiontime,temperature
1/3,16:0,11.3
2/3,15:30,5.35
3/3,16:0,10.8
4/3,15:45,7.28
5/3,15:30,5.3
6/3,15:30,4.2
7/3,15:15,3.35
8/3,15:45,7.78
9/3,15:45,9.4
10/3,16:0,10.3
11/3,15:30,4.35
12/3,15:30,6.0
13/3,15:30,4.4
14/3,15:45,6.28
15/3,16:0,11.9
16/3,15:45,7.1
17/3,15:30,5.35
18/3,15:15,2.75
19/3,15:30,4.85
20/3,15:30,5.4
21/3,15:45,6.28
22/3,15:45,6.88
23/3,15:30,6.05
24/3,16:0,10.7
25/3,16:15,13.55
26/3,16:45,15.35
27/3,17:0,16.2
28/3,16:30,14.85
29/3,16:0,11.2
30/3,16:0,9.7
31/3,15:45,9.07
