time,T1,T2,T3,T4,thermo1,thermo2,thermo3
100.0,-6.869763,-6.9630685,-7.0131135,-6.970035,-16.933155,-19.638002,-15.942147
200.0,-5.0284886,-4.6107183,-5.057294,-4.6481104,-11.686215,-17.314394,-10.562621
300.0,-3.891428,-3.2429962,-4.057364,-3.2927,-8.05822,-14.2886505,-7.12948
400.0,-3.1041508,-2.3762715,-3.3380764,-2.413336,-5.673983,-11.477809,-4.9351544
500.0,-2.5370412,-1.8013457,-2.7487307,-1.8034748,-4.064074,-9.04247,-3.4566576
600.0,-2.101414,-1.3963757,-2.2421105,-1.3448211,-2.9166057,-6.943905,-2.3834364
700.0,-1.7410921,-1.0898317,-1.7944255,-0.9696862,-2.0411992,-5.110807,-1.5375544
800.0,-1.4222993,-0.839848,-1.3894224,-0.63989896,-1.3249831,-3.478322,-0.8188696
900.0,-1.1252366,-0.62200516,-1.0150062,-0.3341566,-0.70187896,-1.9949826,-0.17157602
1000.0,-0.83846235,-0.42210558,-0.6621291,-0.04064213,-0.13343604,-0.62184876,0.4352691
1100.0,-0.5554399,-0.23191322,-0.32409105,0.24717952,0.40266243,0.6699231,1.018797
1200.0,-0.27248028,-0.046653792,0.0040238127,0.5329218,0.91936475,1.9014707,1.5885067
1300.0,0.012457634,0.13644174,0.32579896,0.8185857,1.4241949,3.0882022,2.1496928
1400.0,0.300469,0.31898156,0.6438361,1.1052855,1.9215406,4.24132,2.705334
1500.0,0.5921056,0.50190187,0.9600169,1.3936471,2.4139762,5.3689675,3.2571366
1600.0,0.8876107,0.68575245,1.2757038,1.6840248,2.9030294,6.4770617,3.8061025
1700.0,1.1870521,0.8708567,1.5918804,1.976626,3.3896189,7.569916,4.352844
1800.0,1.4904007,1.0574095,1.9092582,2.271574,3.8743107,8.6506815,4.897758
1900.0,1.7975736,1.2455279,2.2283494,2.5689437,4.357466,9.721671,5.4411125
2000.0,2.1084626,1.4352854,2.5495245,2.868786,4.839325,10.784588,5.9831147
2100.0,2.4229438,1.6267291,2.8730524,3.1711323,5.3200545,11.840703,6.5239205
2200.0,2.7408905,1.8198897,3.199124,3.4760084,5.7997804,12.8909645,7.063665
2300.0,3.062175,2.0147889,3.52788,3.78343,6.2785964,13.936088,7.6024632
2400.0,3.3866713,2.2114406,3.8594198,4.0934105,6.7565827,14.976631,8.140421
2500.0,3.7142553,2.4098556,4.193813,4.4059606,7.233807,16.013021,8.677634
2600.0,4.044814,2.6100419,4.53111,4.7210855,7.7103286,17.0456,9.2141905
2700.0,4.378231,2.812004,4.871346,5.038793,8.1862,18.074642,9.750172
2800.0,4.714399,3.015748,5.2145452,5.3590865,8.661471,19.10037,10.285659
2900.0,5.0532136,3.2212765,5.560724,5.6819673,9.136186,20.122976,10.820724
3000.0,5.394575,3.42859,5.9098887,6.007438,9.610381,21.142624,11.355435
3100.0,5.7383895,3.6376903,6.262045,6.335495,10.084101,22.159454,11.889852
3200.0,6.0845656,3.8485756,6.617195,6.6661396,10.557376,23.173592,12.424041
3300.0,6.4330125,4.0612473,6.9753394,6.999369,11.030239,24.185156,12.958055
3400.0,6.783651,4.275702,7.336468,7.33518,11.502725,25.194239,13.491955
3500.0,7.136396,4.491939,7.7005806,7.6735673,11.974853,26.200943,14.025783
3600.0,7.491176,4.7099543,8.06767,8.014527,12.446655,27.20536,14.559597
3700.0,7.8479123,4.9297466,8.437727,8.358055,12.918156,28.207558,15.09344
3800.0,8.206536,5.151309,8.810742,8.704139,13.38938,29.207626,15.627355
3900.0,8.566982,5.3746395,9.186708,9.052775,13.860345,30.205627,16.161375
4000.0,8.929184,5.5997334,9.565617,9.403958,14.331074,31.201643,16.695547
4100.0,9.293078,5.826584,9.936007,9.757678,14.801583,32.12689,17.229912
4200.0,9.658604,6.0551887,10.228954,10.113927,15.271889,32.735275,17.764492
4300.0,10.025704,6.285539,10.450398,10.472694,15.742012,33.09434,18.29933
4400.0,10.394326,6.5176315,10.629567,10.833969,16.211966,33.30052,18.834444
4500.0,10.764415,6.751454,10.7832,11.197746,16.68176,33.411022,19.369883
4600.0,11.135917,6.987005,10.920551,11.5640135,17.151419,33.45986,19.905663
4700.0,11.508782,7.2242723,11.047054,11.932758,17.62094,33.468067,20.441809
4800.0,11.882968,7.463248,11.1661,12.303973,18.090342,33.449223,20.978355
4900.0,12.258422,7.703924,11.279899,12.677646,18.559631,33.412327,21.51532
5000.0,12.635104,7.9462934,11.3899355,13.023686,19.028826,33.36352,22.000319
5100.0,13.012974,8.190347,11.497233,13.253457,19.497923,33.30702,22.261719
5200.0,13.391983,8.436073,11.602502,13.416823,19.966944,33.245796,22.376318
5300.0,13.772102,8.683464,11.706242,13.551159,20.435884,33.181896,22.423334
5400.0,14.153282,8.932513,11.808788,13.672093,20.904758,33.11675,22.439653
5500.0,14.535488,9.1832075,11.910398,13.786525,21.373564,33.051373,22.442171
5600.0,14.9186945,9.43554,12.011238,13.897672,21.842318,32.98643,22.438944
5700.0,15.3028555,9.6895,12.111427,14.007099,22.311018,32.92242,22.433914
5800.0,15.687943,9.945082,12.211051,14.115581,22.779673,32.859634,22.429047
5900.0,16.073923,10.202271,12.310164,14.2235,23.248285,32.798275,22.425299
6000.0,16.460768,10.461062,12.408806,14.331052,23.716867,32.73847,22.423128
6100.0,16.848444,10.72144,12.506999,14.438312,24.18542,32.68029,22.422722
6200.0,17.207396,10.9774885,12.604759,14.545308,24.616241,32.62376,22.424131
6300.0,17.471136,11.182096,12.702095,14.652049,24.872011,32.568867,22.427332
6400.0,17.681633,11.335029,12.799014,14.758521,25.000275,32.515614,22.432266
6500.0,17.86386,11.46014,12.895516,14.8647,25.062243,32.46397,22.43886
6600.0,18.028849,11.571078,12.991603,14.970582,25.090254,32.413887,22.447046
6700.0,18.182112,11.674581,13.087272,15.076127,25.10071,32.365337,22.456728
6800.0,18.326603,11.774033,13.182519,15.181329,25.102163,32.318268,22.467829
6900.0,18.463984,11.871185,13.27734,15.28616,25.099121,32.272625,22.48028
7000.0,18.595268,11.966975,13.371734,15.390607,25.094019,32.22838,22.493994
7100.0,18.721098,12.061904,13.465695,15.494652,25.088175,32.185463,22.508919
7200.0,18.841928,12.156236,13.559227,15.598287,25.08229,32.14384,22.524979
7300.0,18.958082,12.250112,13.652313,15.701474,25.07673,32.10347,22.542109
7400.0,19.069824,12.343605,13.744962,15.804231,25.071693,32.0643,22.560257
7500.0,19.177382,12.436752,13.837165,15.90652,25.067244,32.026295,22.579361
7600.0,19.280937,12.529559,13.928924,16.008352,25.063398,31.989418,22.599373
7700.0,19.380669,12.622024,14.020237,16.109705,25.060152,31.953615,22.620255
7800.0,19.476732,12.714139,14.111092,16.210564,25.057474,31.918861,22.641945
7900.0,19.569279,12.805901,14.201507,16.31094,25.055334,31.885118,22.664392
8000.0,19.65845,12.89729,14.29145,16.410805,25.05368,31.852346,22.687576
8100.0,19.744371,12.988304,14.380961,16.510168,25.052496,31.82051,22.71144
